scenario_id,emissionBased,sampleFraction,startDay,adlWorstCase,btcBaseRate,btcRateMultiplier,btcPositionMultiplier,btcReferenceNotional,ethBaseRate,ethRateMultiplier,ethPositionMultiplier,ethReferenceNotional,stakerPct,nTrades,nLiquidated,liqPct,finalLp,finalPaper,finalStakers,finalFrontend,traderLoss,traderWin,traderNet,lpGained,lpLost,lpMin,lpMax,totalVolume,maxOi,marginalMintRate,feesPerStakedPaper,costPerPaper,tailProgress,maxDebt,maxQueueLen,totalQueued,totalQueuePaid,queueRemaining,debtRemaining,avgQueueWait,finalBtcLp,finalEthLp,btcNTrades,ethNTrades,btcNLiq,ethNLiq,btcLiqPct,ethLiqPct,btcTraderLoss,ethTraderLoss,btcTraderWin,ethTraderWin
br=0.1_btcRN=100000_ethRN=100000_flow=100%_start=d0_adl=off_emOff,False,1.0,0,False,0.1,15000.0,1384615385.0,100000.0,0.1,15000.0,923076923.0,100000.0,0.01,3600657,2994834,83.17,5000000.0,8625944157.57,248107424.5,2873363.8,282782597.24,26801808.94,-255980788.31,31892837.87,26801808.94,1155431.51,5000000.0,349967706772.3,6430541278.0,8.9746,0.028763,0.032783,280566384.97,45.85,3,3,3,0,-0.0,0.0,775342.62,4315686.31,2617543,983114,2095355,899479,80.05,91.493,172252323.61,110530273.64,18719636.51,8082172.42
br=0.1_btcRN=100000_ethRN=100000_flow=100%_start=d0_adl=off_emOn,True,1.0,0,False,0.1,15000.0,1384615385.0,100000.0,0.1,15000.0,923076923.0,100000.0,0.01,3600657,2994834,83.17,5000000.0,6399950744.12,111851060.31,1315486.6,129596247.1,11429700.18,-118166546.92,16468701.72,11429700.18,1155431.51,5000000.0,150213967596.88,6430541278.0,23.5298,0.017477,0.02025,127384290.95,45.85,3,3,3,0,-0.0,0.0,1713807.98,3325193.55,2617543,983114,2095355,899479,80.05,91.493,72804722.14,56791524.96,7367133.87,4062566.31
br=0.1_btcRN=100000_ethRN=100000_flow=100%_start=d0_adl=on_emOff,False,1.0,0,True,0.1,15000.0,1384615385.0,100000.0,0.1,15000.0,923076923.0,100000.0,0.01,3600657,2994834,83.17,5000000.0,8625944157.57,248039771.69,2873439.86,282782597.24,26869385.69,-255913211.55,31960566.73,26869385.69,1155431.51,5000000.0,349967706772.3,6430541278.0,8.9746,0.028755,0.032783,280566384.97,45.85,3,3,3,0,-0.0,0.0,749602.39,4341578.65,2617543,983114,2095355,899479,80.05,91.493,172252323.61,110530273.64,18782880.78,8086504.91
br=0.1_btcRN=100000_ethRN=100000_flow=100%_start=d0_adl=on_emOn,True,1.0,0,True,0.1,15000.0,1384615385.0,100000.0,0.1,15000.0,923076923.0,100000.0,0.01,3600657,2994834,83.17,5000000.0,6399950744.12,111822331.42,1315518.9,129596247.1,11458396.77,-118137850.33,16497462.91,11458396.77,1155431.51,5000000.0,150213967596.88,6430541278.0,23.5298,0.017472,0.02025,127384290.95,45.85,3,3,3,0,-0.0,0.0,1702870.66,3336195.48,2617543,983114,2095355,899479,80.05,91.493,72804722.14,56791524.96,7393973.35,4064423.42
br=0.1_btcRN=100000_ethRN=100000_flow=100%_start=d105_adl=off_emOff,False,1.0,105,False,0.1,15000.0,1384615385.0,100000.0,0.1,15000.0,923076923.0,100000.0,0.01,2256995,1868506,82.79,5000000.0,6706412423.46,124205983.48,1455833.89,143433179.73,12771362.37,-130661817.36,17814366.55,12771362.37,1723027.36,5000000.0,167525290821.93,4353230033.61,21.0992,0.01852,0.021387,141245381.62,0.0,0,0,0,0,0.0,0,2656316.58,2386687.6,1800324,456671,1453015,415491,80.709,90.983,101791255.7,41641924.03,10423772.51,2347589.86
br=0.1_btcRN=100000_ethRN=100000_flow=100%_start=d105_adl=off_emOn,True,1.0,105,False,0.1,15000.0,1384615385.0,100000.0,0.1,15000.0,923076923.0,100000.0,0.01,2256995,1868506,82.79,5000000.0,5089614651.32,71255041.59,853746.31,84182353.5,7073565.6,-77108787.9,12097411.15,7073565.6,1723027.36,5000000.0,93432387411.43,4353230033.61,35.2921,0.014,0.01654,81995917.83,0.0,0,0,0,0,0.0,0,3056278.96,1967566.6,1800324,456671,1453015,415491,80.709,90.983,59806379.92,24375973.57,5774879.47,1298686.13
br=0.1_btcRN=100000_ethRN=100000_flow=100%_start=d105_adl=on_emOff,False,1.0,105,True,0.1,15000.0,1384615385.0,100000.0,0.1,15000.0,923076923.0,100000.0,0.01,2256995,1868506,82.79,5000000.0,6706412423.46,124205978.69,1455833.89,143433179.73,12771367.15,-130661812.58,17814371.34,12771367.15,1723027.36,5000000.0,167525290821.93,4353230033.61,21.0992,0.01852,0.021387,141245381.62,0.0,0,0,0,0,0.0,0,2656316.58,2386687.61,1800324,456671,1453015,415491,80.709,90.983,101791255.7,41641924.03,10423772.97,2347594.18
br=0.1_btcRN=100000_ethRN=100000_flow=100%_start=d105_adl=on_emOn,True,1.0,105,True,0.1,15000.0,1384615385.0,100000.0,0.1,15000.0,923076923.0,100000.0,0.01,2256995,1868506,82.79,5000000.0,5089614651.32,71255039.65,853746.32,84182353.5,7073567.53,-77108785.96,12097413.09,7073567.53,1723027.36,5000000.0,93432387411.43,4353230033.61,35.2921,0.014,0.01654,81995917.83,0.0,0,0,0,0,0.0,0,3056278.96,1967566.6,1800324,456671,1453015,415491,80.709,90.983,59806379.92,24375973.57,5774879.8,1298687.73
br=0.1_btcRN=100000_ethRN=100000_flow=100%_start=d112_adl=off_emOff,False,1.0,112,False,0.1,15000.0,1384615385.0,100000.0,0.1,15000.0,923076923.0,100000.0,0.01,2137926,1763563,82.49,5000000.0,6519693284.93,116662095.64,1371129.01,135083217.92,12049993.27,-123033224.65,17090586.93,12049993.27,2147179.67,5000000.0,157333703010.76,4353230033.61,22.5045,0.017894,0.020719,132956651.25,0.0,0,0,0,0,0.0,0,2579465.44,2461128.21,1711653,426273,1376567,386996,80.423,90.786,95813447.02,39269770.9,9802895.15,2247098.12
br=0.1_btcRN=100000_ethRN=100000_flow=100%_start=d112_adl=off_emOn,True,1.0,112,False,0.1,15000.0,1384615385.0,100000.0,0.1,15000.0,923076923.0,100000.0,0.01,2137926,1763563,82.49,5000000.0,4966173428.57,68206914.75,820016.15,80850310.54,6823379.64,-74026930.89,11846405.73,6823379.64,2147179.67,5000000.0,89404275039.94,4353230033.61,36.4634,0.013734,0.01628,78724990.46,0.0,0,0,0,0,0.0,0,2954929.21,2068096.87,1711653,426273,1376567,386996,80.423,90.786,57312633.18,23537677.36,5537582.56,1285797.08
